gejala,relevance_score,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi,cara_menggunakan
Gangguan pencernaan,"0,9",Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri.","Campurkan 1 sendok teh bubuk akar manis ke dalam segelas air hangat. Minum sebelum makan, dua kali sehari. Akar manis membantu melapisi dinding lambung, mengurangi iritasi, dan mempercepat penyembuhan luka pada lambung."
Nyeri sendi,"0,7",Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri.",Buat teh dengan merebus 1 sendok teh akar manis dalam segelas air selama 10 menit. Saring dan minum hangat sekali sehari. Sifat anti-inflamasi pada akar manis membantu mengurangi rasa nyeri dan pembengkakan pada sendi.
Susah tidur,"0,6",Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri.","Seduh 1 sendok teh akar manis kering dengan air panas seperti membuat teh. Tambahkan madu untuk rasa, dan minum selagi hangat. Konsumsi satu kali sehari untuk membantu tubuh lebih rileks dan mengurangi gejala stres."
Sakit tenggorokan,"0,85",Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri.","Akar manis memiliki sifat anti-inflamasi dan antimikroba yang efektif meredakan sakit tenggorokan. Rebus 1-2 sendok teh akar manis kering dalam segelas air selama 10 menit, lalu saring. Gunakan air rebusan untuk diminum hangat dua kali sehari, atau sebagai obat kumur untuk mengurangi iritasi."
Panas dalam,"0,9",Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein.",Alang-alang (Imperata cylindrica) efektif meredakan panas dalam. Rebus segenggam akar alang-alang yang telah dicuci bersih dalam 3 gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini hangat dua kali sehari untuk membantu mendinginkan tubuh.
Gangguan pencernaan,1,Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein.","Rebus 50 gram akar alang-alang dalam 4 gelas air hingga tersisa 2 gelas. Saring dan minum airnya secara rutin, dua kali sehari. Alang-alang memiliki sifat diuretik yang membantu melancarkan buang air kecil dan membersihkan saluran kemih."
Darah tinggi,"0,7",Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein.",Rebus 30 gram akar alang-alang segar dengan 2 gelas air hingga tersisa 1 gelas. Saring dan minum sehari sekali. Alang-alang membantu menurunkan tekanan darah berkat sifat diuretik dan anti-inflamasinya.
Batuk,"0,6",Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein.","Rebus 20 gram akar alang-alang dalam 2 gelas air hingga mendidih dan tersisa separuhnya. Tambahkan sedikit madu untuk rasa, dan minum hangat dua kali sehari. Kandungan pada alang-alang membantu mengencerkan dahak dan meredakan batuk."
Mimisan,"0,8",Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein.","Untuk menghentikan mimisan, cuci bersih akar alang-alang, lalu tumbuk hingga halus. Peras untuk mengambil sarinya, kemudian teteskan beberapa tetes ke lubang hidung yang mimisan. Sifat hemostatik alang-alang membantu menghentikan perdarahan."
Mimisan,"0,9",Andong,Cordyline fruticosa,Andong (Jawa); Hanjuang (Sunda); Endong (Madura); Hanja (Dayak); Rontong (Bugis).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias yang juga memiliki manfaat pengobatan, dengan daun berwarna hijau kemerahan yang tumbuh rimbun. Tanaman ini sering ditemukan di pekarangan rumah atau taman, tumbuh baik di daerah beriklim tropis. Selain digunakan untuk menghias, daunnya memiliki kandungan senyawa bioaktif yang bermanfaat untuk kesehatan. Secara tradisional, daunnya digunakan untuk menghentikan pendarahan dan mempercepat penyembuhan luka. Selain itu, ekstrak tanaman ini juga diketahui memiliki sifat antimikroba dan antioksidan.","Mimisan
Luka
Nyeri haid
Iritasi kulit
Wasir","Flavonoid, saponin, tanin, polifenol, zat besi.","Untuk mengatasi pendarahan, seperti mimisan atau luka kecil, haluskan daun andong segar dan tempelkan pada area yang berdarah. Senyawa hemostatiknya membantu menghentikan perdarahan dengan cepat."
Luka,"0,8",Andong,Cordyline fruticosa,Andong (Jawa); Hanjuang (Sunda); Endong (Madura); Hanja (Dayak); Rontong (Bugis).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias yang juga memiliki manfaat pengobatan, dengan daun berwarna hijau kemerahan yang tumbuh rimbun. Tanaman ini sering ditemukan di pekarangan rumah atau taman, tumbuh baik di daerah beriklim tropis. Selain digunakan untuk menghias, daunnya memiliki kandungan senyawa bioaktif yang bermanfaat untuk kesehatan. Secara tradisional, daunnya digunakan untuk menghentikan pendarahan dan mempercepat penyembuhan luka. Selain itu, ekstrak tanaman ini juga diketahui memiliki sifat antimikroba dan antioksidan.","Mimisan
Luka
Nyeri haid
Iritasi kulit
Wasir","Flavonoid, saponin, tanin, polifenol, zat besi.","Rebus beberapa lembar daun andong dengan segelas air hingga mendidih, lalu gunakan air rebusan yang telah dingin untuk mencuci luka. Sifat antiseptiknya membantu mencegah infeksi dan mempercepat penyembuhan."
Nyeri haid,"0,7",Andong,Cordyline fruticosa,Andong (Jawa); Hanjuang (Sunda); Endong (Madura); Hanja (Dayak); Rontong (Bugis).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias yang juga memiliki manfaat pengobatan, dengan daun berwarna hijau kemerahan yang tumbuh rimbun. Tanaman ini sering ditemukan di pekarangan rumah atau taman, tumbuh baik di daerah beriklim tropis. Selain digunakan untuk menghias, daunnya memiliki kandungan senyawa bioaktif yang bermanfaat untuk kesehatan. Secara tradisional, daunnya digunakan untuk menghentikan pendarahan dan mempercepat penyembuhan luka. Selain itu, ekstrak tanaman ini juga diketahui memiliki sifat antimikroba dan antioksidan.","Mimisan
Luka
Nyeri haid
Iritasi kulit
Wasir","Flavonoid, saponin, tanin, polifenol, zat besi.",Rebus 2-3 lembar daun andong segar dengan 2 gelas air hingga mendidih. Saring dan minum hangat sehari dua kali selama periode menstruasi. Andong membantu meredakan kram perut dan memperlancar aliran darah.
Iritasi kulit,"0,85",Andong,Cordyline fruticosa,Andong (Jawa); Hanjuang (Sunda); Endong (Madura); Hanja (Dayak); Rontong (Bugis).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias yang juga memiliki manfaat pengobatan, dengan daun berwarna hijau kemerahan yang tumbuh rimbun. Tanaman ini sering ditemukan di pekarangan rumah atau taman, tumbuh baik di daerah beriklim tropis. Selain digunakan untuk menghias, daunnya memiliki kandungan senyawa bioaktif yang bermanfaat untuk kesehatan. Secara tradisional, daunnya digunakan untuk menghentikan pendarahan dan mempercepat penyembuhan luka. Selain itu, ekstrak tanaman ini juga diketahui memiliki sifat antimikroba dan antioksidan.","Mimisan
Luka
Nyeri haid
Iritasi kulit
Wasir","Flavonoid, saponin, tanin, polifenol, zat besi.","Tumbuk daun andong segar hingga halus, lalu tempelkan pada area kulit yang meradang atau mengalami iritasi. Biarkan selama 15-20 menit, lalu bilas dengan air hangat. Sifat anti-inflamasi dan menenangkan dari andong membantu meredakan gejala radang."
